address,city,price,numOfBed,numOfBath,fulBathrooms,halfBathrooms,levels,sqft,lotSize,yearBuilt,homeType,typeOwnership,extraFeaturesDescription,neighbourhood,propertySummary,fireplaces,basementArea,taxes,strataFees,amenities,walkscore,daysListed,lastUpdated,images
6611 Cartier Street,Vancouver,"$8,899,011",8,8,6,2,3,10364,0.34,1989,House/Single Family,,,  South Granville,,2,Fully Finished,"17,953",,,38,,,"[""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-2.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-3.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-4.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-5.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-6.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-7.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-8.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-9.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-10.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-11.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-12.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-13.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-14.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-15.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-16.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-17.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-18.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-19.jpg?2016-04-13+23%3A39%3A00"", ""https://photos.zolo.ca/6611-cartier-street-vancouver-R2057345-20.jpg?2016-04-13+23%3A39%3A00""]"
3095 5th Avenue W,Vancouver,"$2,456,270",4,1,1,0,2,2754,3520,1926,House/Single Family,,,  Kitsilano,,1,"Full, Partly Finished, Separate Entry","5,769",,,95,,,"[""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-2.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-3.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-4.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-5.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-6.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-7.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-8.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-9.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-10.jpg?2016-04-16+21%3A55%3A00"", ""https://photos.zolo.ca/3095-w-5th-avenue-vancouver-R2057340-11.jpg?2016-04-16+21%3A55%3A00""]"
2032 22nd Avenue E,Vancouver,"$1,419,839",3,2,1,1,3,2000,0.09,9999,House/Single Family,,,  Victoria Ve,,0,Full,"4,162",,,81,,,"[""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-2.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-3.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-4.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-5.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-6.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-7.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-8.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-9.jpg?2016-04-14+17%3A45%3A00"", ""https://photos.zolo.ca/2032-e-22nd-avenue-vancouver-R2057334-10.jpg?2016-04-14+17%3A45%3A00""]"
1459 41st Avenue W,Vancouver,"$2,662,160",6,3,3,0,3,3500,0.19,1927,House/Single Family,,,  Shaughnessy,,1,Full,"7,622",,,74,,,"[""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-2.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-3.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-4.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-5.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-6.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-7.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-8.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-9.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-10.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-11.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-12.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-13.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-14.jpg?2016-04-13+23%3A14%3A00"", ""https://photos.zolo.ca/1459-w-41st-avenue-vancouver-R2057323-15.jpg?2016-04-13+23%3A14%3A00""]"
1449 41st Avenue W,Vancouver,"$2,662,160",6,3,3,0,3,3610,0.19,1927,House/Single Family,,,  Shaughnessy,,1,Full,"7,699",,,74,,,"[""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-2.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-3.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-4.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-5.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-6.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-7.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-8.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-9.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-10.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-11.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-12.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-13.jpg?2016-04-13+22%3A50%3A00"", ""https://photos.zolo.ca/1449-w-41st-avenue-vancouver-R2057304-14.jpg?2016-04-13+22%3A50%3A00""]"
3998 Granville Street,Vancouver,"$28,512,000",3,3,3,0,4,5350,1858.06,1955,House/Single Family,,,  Shaughnessy,,2,Fully Finished,"12,843",,,62,,,"[""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3998%20Granville%20Street%20%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3998%20Granville%20Street%20%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=3998%20Granville%20Street%20%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
731 Union Street,Vancouver,"$1,188,000",3,3,2,1,3,1821,283.35,1907,House/Single Family,,,  Mount Pleasant Ve,,0,"Crawl, Part, Partly Finished","3,969",,,90,,,"[""//maps.googleapis.com/maps/api/streetview?size=640x480&location=731%20Union%20Street%20%20Vancouver%20BC&fov=70&heading=0&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=731%20Union%20Street%20%20Vancouver%20BC&fov=70&heading=120&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", ""//maps.googleapis.com/maps/api/streetview?size=640x480&location=731%20Union%20Street%20%20Vancouver%20BC&fov=70&heading=240&pitch=10&key=AIzaSyAj59gMnWGKRVf0zlM9cJaS3UOlrdPO9D0"", """"]"
3460 Georgia Street E,Vancouver,"$1,592,160",7,4,4,0,2,2320,0.09,1961,House/Single Family,,,  Renfrew Ve,,1,Fully Finished,"3,815",,,71,,,"[""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-2.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-3.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-4.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-5.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-6.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-7.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-8.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-9.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-10.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-11.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-12.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-13.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-14.jpg?2016-04-14+07%3A09%3A00"", ""https://photos.zolo.ca/3460-e-georgia-street-vancouver-R2057275-15.jpg?2016-04-14+07%3A09%3A00""]"
238 14th Avenue W,Vancouver,"$1,176,120",2,1,0,1,2,1191,0,1989,Townhouse,,,  Mount Pleasant Vw,,2,No,"2,471",,,94,,,"[""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-2.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-3.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-4.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-5.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-6.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-7.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-8.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-9.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-10.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-11.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-12.jpg?2016-04-13+23%3A02%3A00"", ""https://photos.zolo.ca/238-w-14th-avenue-vancouver-R2057229-13.jpg?2016-04-13+23%3A02%3A00""]"
1384 63rd Avenue E,Vancouver,"$1,385,901",4,2,2,0,2,2412,545.53,1958,House/Single Family,,,  South Vancouver,,2,"Partly Finished, Separate Entry","4,636",,,59,,,"[""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-2.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-3.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-4.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-5.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-6.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-7.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-8.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-9.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-10.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-11.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-12.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-13.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-14.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-15.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-16.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-17.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-18.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-19.jpg?2016-04-13+21%3A30%3A00"", ""https://photos.zolo.ca/1384-e-63rd-avenue-vancouver-R2057224-20.jpg?2016-04-13+21%3A30%3A00""]"
5350 Slocan Street,Vancouver,"$1,750,320",3,3,2,1,2,1790,3432,1991,House/Single Family,,,  Collingwood Ve,,1,None,"4,347",,,80,,,"[""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-2.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-3.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-4.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-5.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-6.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-7.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-8.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-9.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-10.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-11.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-12.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-13.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-14.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-15.jpg?2016-04-15+20%3A39%3A00"", ""https://photos.zolo.ca/5350-slocan-street-vancouver-R2057215-16.jpg?2016-04-15+20%3A39%3A00""]"
4108 Gladstone Street,Vancouver,"$1,378,160",6,4,4,0,2,2662,306.58,9999,House/Single Family,,,  Victoria Ve,,0,None,"3,641",,,76,,,"[""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-2.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-3.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-4.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-5.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-6.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-7.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-8.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-9.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-10.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-11.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-12.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-13.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-14.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-15.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-16.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-17.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-18.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-19.jpg?2016-04-18+18%3A24%3A00"", ""https://photos.zolo.ca/4108-gladstone-street-vancouver-R2057201-20.jpg?2016-04-18+18%3A24%3A00""]"
2817 Fraser Street,Vancouver,"$1,924,930",8,6,6,0,2,3250,0.09,1953,House/Single Family,,,  Mount Pleasant Ve,,0,"Fully Finished, Separate Entry","4,369",,,91,,,"[""https://photos.zolo.ca/2817-fraser-street-vancouver-R2057180-2.jpg?2016-04-13+22%3A07%3A00"", ""https://photos.zolo.ca/2817-fraser-street-vancouver-R2057180-3.jpg?2016-04-13+22%3A07%3A00"", ""https://photos.zolo.ca/2817-fraser-street-vancouver-R2057180-4.jpg?2016-04-13+22%3A07%3A00""]"
2846 30th Avenue W,Vancouver,"$6,225,120",6,6,5,1,3,4651,603.87,2014,House/Single Family,,,  Mackenzie Heights,,1,"Full, Fully Finished","14,083",,,65,,,"[""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-2.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-3.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-4.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-5.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-6.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-7.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-8.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-9.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-10.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-11.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-12.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-13.jpg?2016-04-18+17%3A06%3A00"", ""https://photos.zolo.ca/2846-w-30th-avenue-vancouver-R2057170-14.jpg?2016-04-18+17%3A06%3A00""]"
7061 Adera Street,Vancouver,"$5,623,200",4,4,4,0,3,3660,812.25,1938,House/Single Family,,,  South Granville,,2,Full,"12,399",,,43,,,"[""https://photos.zolo.ca/7061-adera-street-vancouver-R2057166-2.jpg?2016-04-13+20%3A13%3A00""]"
2560 4th Avenue,Vancouver,"$470,139",1,1,0,1,1,646,0,1986,Apartment/Condo,,,  Kitsilano,,4,No,"1,160",,,94,,,"[""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-2.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-3.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-4.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-5.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-6.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-7.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-8.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-9.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-10.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-11.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-12.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-13.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-14.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-15.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-16.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-17.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-18.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-19.jpg?2016-04-14+03%3A05%3A00"", ""https://photos.zolo.ca/2560-4th-avenue-vancouver-R2056320-20.jpg?2016-04-14+03%3A05%3A00""]"
2849 King Edward Avenue W,Vancouver,"$3,081,600",8,3,3,0,2,2836,7111,1962,House/Single Family,,,  Arbutus,,1,Full,"7,077",,,54,,,"[""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-2.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-3.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-4.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-5.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-6.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-7.jpg?2016-04-19+17%3A51%3A00"", ""https://photos.zolo.ca/2849-w-king-edward-avenue-vancouver-R2057160-8.jpg?2016-04-19+17%3A51%3A00""]"
119 41st Avenue W,Vancouver,"$2,849,220",3,2,2,0,2,1800,0.13,9999,House/Single Family,,,  Cambie,,1,Partly Finished,"5,675",,,95,,,"[""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-2.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-3.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-4.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-5.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-6.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-7.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-8.jpg?2016-04-13+21%3A13%3A00"", ""https://photos.zolo.ca/119-w-41st-avenue-vancouver-R2057134-9.jpg?2016-04-13+21%3A13%3A00""]"
